title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Assistant Manager (Core-Banking Team) (Database Administrator ),Infra & System,SATHAPANA Limited Myanmar,Yangon,MM,,Negotiable,,,,,Manager,2025-05-09,https://www.jobnet.com.mm/job/assistant-manager-core-banking-team-sathapana-limited-myanmar/114071,jobnetmm
"Senior Manager, Head Of Access Transport",Other,ATOM,Yangon,MM,,Negotiable,,,,,Senior,2025-05-08,https://www.jobnet.com.mm/job/senior-manager-head-of-access-transport-atom/114044,jobnetmm
"Senior Manager, IT Infrastructure & Security",Cybersecurity,ATOM,Yangon,MM,,Negotiable,,,,,Senior,2025-05-08,https://www.jobnet.com.mm/job/senior-manager-it-infrastructure-and-security-atom/114043,jobnetmm
"IT Executive ( System Maintenance, Support)",Infra & System,"Mo Mo Ventures Finance Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-08,https://www.jobnet.com.mm/job/it-executive-system-maintenance-support-mo-mo-ventures-finance-co-ltd/109409,jobnetmm
Java Developer (Senior Level) (Software Developer),Software/Web Development,CB Bank,Yangon,MM,,Negotiable,,,,,Senior,2025-05-07,https://www.jobnet.com.mm/job/java-developer-senior-level-cb-bank/113985,jobnetmm
Senior Software Developer (Java Script) (Software Developer),Software/Web Development,"AGB Communication Co.,Ltd",Yangon,MM,,Negotiable,,,,,Senior,2025-05-07,https://www.jobnet.com.mm/job/senior-software-developer-java-script-agb-communication-co-ltd/113984,jobnetmm
Application Support Officer (IT Support),Infra & System,Yoma Bank,Yangon,MM,,Negotiable,,,,,,2025-05-07,https://www.jobnet.com.mm/job/application-support-officer-yoma-bank/113965,jobnetmm
System Engineer/ IT Technician,Infra & System,SHWE TAUNG GROUP,Yangon,MM,,Negotiable,,,,,,2025-05-07,https://www.jobnet.com.mm/job/system-engineer-it-technician-shwe-taung-group/113964,jobnetmm
IT Infra Engineer,Infra & System,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,MM,,Negotiable,,,,,,2025-05-07,https://www.jobnet.com.mm/job/it-infra-engineer-dai-ichi-life-insurance-myanmar-ltd/113960,jobnetmm
Corporate Senior SAP Technical Executive (Software Developer),Software/Web Development,PME & AG Holding,Yangon,MM,,Negotiable,,,,,Senior,2025-05-07,https://www.jobnet.com.mm/job/corporate-senior-sap-technical-executive-pme-and-ag-holding/108939,jobnetmm
Senior Mobile Developer (Software Developer),Software/Web Development,"A2000 Myanmar Co., Ltd",Yangon,MM,,Negotiable,,,,,Senior,2025-05-05,https://www.jobnet.com.mm/job/senior-mobile-developer-a2000-myanmar-co-ltd/113856,jobnetmm
