title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
ServiceNow Consultant,It consulting & Solutions,Avensys Consulting Pte Ltd,"Singapore, Ubi",SG,57600,86400,72000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/servicenow-consultant-avensys-consulting-pte-ltd-singapore-ubi-33882269,founditsg
Middleware Engineer,Software/Web Development,CXC Singapore Pte Ltd,Robinson,SG,72000,102000,87000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/middleware-engineer-cxc-singapore-pte-ltd-robinson-33763839,founditsg
Machine Learning Engineer,AI / Data science,Salt Talent Search Pte Ltd,Robinson,SG,66000,90000,78000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/machine-learning-engineer-salt-talent-search-pte-ltd-robinson-33521493,founditsg
Technical Writer,Other,Infinite Computer Solutions Pte Ltd,"Shenton Way, Tanjong Pagar",SG,90000,108000,99000,SGD,,,,2025-05-27,https://www.foundit.sg/job/technical-writer-infinite-computer-solutions-pte-ltd-shenton-way-tanjong-pagar-33512741,founditsg
Desktop Support Specialist,Technical Support,Nanyang Inc Pte Ltd,Geylang,SG,36000,45600,40800,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/desktop-support-specialist-nanyang-inc-pte-ltd-geylang-33667321,founditsg
Customer Care Support,Other,U3 Infotech Pte Ltd,Singapore,SG,30000,36000,33000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/customer-care-support-u3-infotech-pte-ltd-singapore-33754472,founditsg
DevSecOps Engineer,Software/Web Development,Total eBiz Solutions Pte Ltd,Singapore,SG,78000,96000,87000,SGD,,,,2025-05-27,https://www.foundit.sg/job/devsecops-engineer-total-ebiz-solutions-pte-ltd-singapore-33668062,founditsg
Pega Developer,Software/Web development,Ploy Asia Pte. Ltd,Singapore,SG,72000,108000,90000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/pega-developer-ploy-asia-pte-ltd-singapore-33738834,founditsg
Software Developer,Software/Web development,Intellect Minds Pte Ltd,Singapore,SG,96000,117600,106800,SGD,,,,2025-05-27,https://www.foundit.sg/job/software-developer-intellect-minds-pte-ltd-singapore-33754359,founditsg
Cloud Presales Specialist,Cloud & Devops,Ploy Asia Pte. Ltd,Singapore,SG,48000,60000,54000,SGD,,,,2025-05-27,https://www.foundit.sg/job/cloud-presales-specialist-ploy-asia-pte-ltd-singapore-33738825,founditsg
Pega Technical Project Manager,Project & Product Management,Ploy Asia Pte. Ltd,Singapore,SG,48000,60000,54000,SGD,,,,2025-05-27,https://www.foundit.sg/job/pega-technical-project-manager-ploy-asia-pte-ltd-singapore-33738855,founditsg
ERP Project Manager,Project & Product Management,Intellect Minds Pte Ltd,Singapore,SG,96000,132000,114000,SGD,,,,2025-05-27,https://www.foundit.sg/job/erp-project-manager-intellect-minds-pte-ltd-singapore-33754360,founditsg
