title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
"Manager/Sr. Manager, Network Quality & Performance",,ATOM,Yangon,MM,,,,,,,,2025-04-07,https://www.jobnet.com.mm/job/manager-sr-manager-network-quality-and-performance-atom/113028,jobnetmm
"Asst Manager/Manager, Billing & Charging (B2C)",,ATOM,Yangon,MM,,,,,,,,2025-04-07,https://www.jobnet.com.mm/job/asst-manager-manager-billing-and-charging-b2c-atom/113025,jobnetmm
Business Analyst (AM),,CB Bank,Yangon,MM,,,,,,,,2025-04-07,https://www.jobnet.com.mm/job/business-analyst-am-cb-bank/113020,jobnetmm
Project Manager (IPTV Project),,MYW Technologies,Yangon,MM,,,,,,,,2025-04-04,https://www.jobnet.com.mm/job/project-manager-iptv-project-myw-technologies/110005,jobnetmm
Senior Network Administrator,,CoreBridge Company Limited,Yangon,MM,,,,,,,,2025-04-04,https://www.jobnet.com.mm/job/senior-network-administrator-corebridge-company-limited/112970,jobnetmm
Data Scientist,,Hana Microfinance Ltd,Yangon,MM,,,,,,,,2025-04-04,https://www.jobnet.com.mm/job/data-scientist-hana-microfinance-ltd/112969,jobnetmm
IT Associate (SAP),,PME & AG Holding,Yangon,MM,,,,,,,,2025-04-03,https://www.jobnet.com.mm/job/it-associate-sap-pme-and-ag-holding/112919,jobnetmm
Enterprise Security Architect,,ATOM,Yangon,MM,,,,,,,,2025-04-03,https://www.jobnet.com.mm/job/enterprise-security-architect-atom/111753,jobnetmm
IT Assistant,,BrainWorks-Total International School,Yangon,MM,,,,,,,,2025-04-02,https://www.jobnet.com.mm/job/it-assistant-brainworks-total-international-school/112856,jobnetmm
General Manager (IT),,"Cho Cho Co.,Ltd",Yangon,MM,,,,,,,,2025-04-02,https://www.jobnet.com.mm/job/general-manager-it-cho-cho-co-ltd/112854,jobnetmm
