title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
Vmware System Administrator (System Analyst),CoreBridge Company Limited,Yangon,"Up to 1,000,000 Ks",,,24 Apr 2025,https://www.jobnet.com.mm/job/vmware-system-administrator-corebridge-company-limited/113385,MM,jobnetmm
Head Of Digital Banking Management & AI Solutions (IT Project Manager),CB Bank,Yangon,Negotiable,,,24 Apr 2025,https://www.jobnet.com.mm/job/head-of-digital-banking-management-and-ai-solutions-cb-bank/113362,MM,jobnetmm
Database Administrator,Pro 1 Home Center,Yangon,Negotiable,,,24 Apr 2025,https://www.jobnet.com.mm/job/database-administrator-pro-1-home-center/113360,MM,jobnetmm
Requirement Analysis Manager(Software Application) (System Analyst),KBZ Bank,Yangon,Negotiable,,,23 Apr 2025,https://www.jobnet.com.mm/job/requirement-analysis-managersoftware-application-kbz-bank/113326,MM,jobnetmm
IT Security Assistant Manager,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,"Up to 2,000,000 Ks",,,23 Apr 2025,https://www.jobnet.com.mm/job/it-security-assistant-manager-dai-ichi-life-insurance-myanmar-ltd/113303,MM,jobnetmm
.Net Developer/ System Analyst,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,Negotiable,,,23 Apr 2025,https://www.jobnet.com.mm/job/net-developer-system-analyst-dai-ichi-life-insurance-myanmar-ltd/113301,MM,jobnetmm
Product Owner (Business Analyst),Capital Diamond Star Group (CDSG),Yangon,Negotiable,,,23 Apr 2025,https://www.jobnet.com.mm/job/product-owner-capital-diamond-star-group-cdsg/113298,MM,jobnetmm
Project Manager (IT Project Manager),"Zettatech Co., Ltd.",Yangon,Negotiable,,,23 Apr 2025,https://www.jobnet.com.mm/job/project-manager-zettatech-co-ltd/113296,MM,jobnetmm
"Assistant Manager, Application Architect",AIA Myanmar,Yangon,Negotiable,,,23 Apr 2025,https://www.jobnet.com.mm/job/assistant-manager-application-architect-aia-myanmar/109463,MM,jobnetmm
Junior System Engineer (DevOps Engineer),"Zettatech Co., Ltd.",Yangon,Negotiable,,,23 Apr 2025,https://www.jobnet.com.mm/job/junior-system-engineer-zettatech-co-ltd/113291,MM,jobnetmm
BI Report Development Senior Specialist (Data Analyst),Ooredoo Myanmar,Yangon,Negotiable,,,23 Apr 2025,https://www.jobnet.com.mm/job/bi-report-development-senior-specialist-ooredoo-myanmar/113289,MM,jobnetmm
Lead Flutter Mobile App Developer (Mobile Developer),"Source Code Co.,Ltd",Yangon,Negotiable,,,22 Apr 2025,https://www.jobnet.com.mm/job/lead-flutter-mobile-app-developer-source-code-co-ltd/113272,MM,jobnetmm
"Assistant Manager, Data Analytics",AIA Myanmar,Yangon,Negotiable,,,22 Apr 2025,https://www.jobnet.com.mm/job/assistant-manager-data-analytics-aia-myanmar/111172,MM,jobnetmm
System Administrator (IT Support),CoreBridge Company Limited,Yangon,"Up to 900,000 Ks",,,22 Apr 2025,https://www.jobnet.com.mm/job/system-administrator-corebridge-company-limited/113233,MM,jobnetmm
Web Developer (Software Developer),Myanmar Information Technology Pte. Ltd. (MIT),Yangon,Negotiable,,,22 Apr 2025,https://www.jobnet.com.mm/job/web-developer-myanmar-information-technology-pte-ltd-mit/113231,MM,jobnetmm
UI UX Designer,Phluid Worldwide,Yangon,"Up to 1,500,000 Ks",,,15 Apr 2025,https://www.jobnet.com.mm/job/ui-ux-designer-phluid-worldwide/113198,MM,jobnetmm
Software Developer (IT Support),"Global Technology Co.,Ltd (GlobalNet)",Yangon,Negotiable,,,14 Apr 2025,https://www.jobnet.com.mm/job/software-developer-global-technology-co-ltd-globalnet/113191,MM,jobnetmm
Quality Assurance Tester,CoreBridge Company Limited,Yangon,Negotiable,,,11 Apr 2025,https://www.jobnet.com.mm/job/quality-assurance-tester-corebridge-company-limited/108972,MM,jobnetmm
Associate System Engineer (System Analyst),CB Bank,Yangon,Negotiable,,,11 Apr 2025,https://www.jobnet.com.mm/job/associate-system-engineer-cb-bank/113176,MM,jobnetmm
Project Manager (Software Development) (IT Project Manager),Nexcode Company,Yangon,Negotiable,,,11 Apr 2025,https://www.jobnet.com.mm/job/project-manager-software-development-nexcode-company/113169,MM,jobnetmm
IT Procurement Contract Manager (ITSM Manager),KBZ Bank,Yangon,Negotiable,,,10 Apr 2025,https://www.jobnet.com.mm/job/it-procurement-contract-manager-kbz-bank/113141,MM,jobnetmm
NOC Engineer (L1 Support) (IT Support),Ooredoo Myanmar,Yangon,Negotiable,,,10 Apr 2025,https://www.jobnet.com.mm/job/noc-engineer-l1-support-ooredoo-myanmar/111842,MM,jobnetmm
UCC Engineer (L1 Support) (IT Support),Ooredoo Myanmar,Yangon,Negotiable,,,10 Apr 2025,https://www.jobnet.com.mm/job/ucc-engineer-l1-support-ooredoo-myanmar/111440,MM,jobnetmm
ICT Operations Senior Engineer,Ooredoo Myanmar,Yangon,Negotiable,,,10 Apr 2025,https://www.jobnet.com.mm/job/ict-operations-senior-engineer-ooredoo-myanmar/109699,MM,jobnetmm
Office IT Engineer (IT Support),Myint Thukha Nadi A Group of Companies,Yangon,Negotiable,,,09 Apr 2025,https://www.jobnet.com.mm/job/office-it-engineer-myint-thukha-nadi-a-group-of-companies/113114,MM,jobnetmm
Database Administrator,Early Dawn Microfinance,Yangon,Negotiable,,,09 Apr 2025,https://www.jobnet.com.mm/job/database-administrator-early-dawn-microfinance/113084,MM,jobnetmm
IT & Infra Assistant,Early Dawn Microfinance,Yangon,Negotiable,,,09 Apr 2025,https://www.jobnet.com.mm/job/it-and-infra-assistant-early-dawn-microfinance/110590,MM,jobnetmm
Desktop Support Engineer (IT Support),CoreBridge Company Limited,Yangon,Negotiable,,,08 Apr 2025,https://www.jobnet.com.mm/job/desktop-support-engineer-corebridge-company-limited/113073,MM,jobnetmm
Oracle Database Administrator (Database Administrator ),CoreBridge Company Limited,Yangon,Negotiable,,,08 Apr 2025,https://www.jobnet.com.mm/job/oracle-database-administrator-corebridge-company-limited/113062,MM,jobnetmm
Database Administrator,Systematic Business Solution,Yangon,Negotiable,,,08 Apr 2025,https://www.jobnet.com.mm/job/database-administrator-systematic-business-solution/111136,MM,jobnetmm
Senior Developer (Software Developer),Systematic Business Solution,Yangon,Negotiable,,,08 Apr 2025,https://www.jobnet.com.mm/job/senior-developer-systematic-business-solution/111135,MM,jobnetmm
NOC Engineer,KBZ Bank,Yangon,Negotiable,,,08 Apr 2025,https://www.jobnet.com.mm/job/noc-engineer-kbz-bank/101552,MM,jobnetmm
Frontend Engineer (React) (Software Developer),"PLUS IMPACT Co.,Ltd",Yangon,Negotiable,,,08 Apr 2025,https://www.jobnet.com.mm/job/frontend-engineer-react-plus-impact-co-ltd/113054,MM,jobnetmm
Full-Stack Developer (Software Developer),Myanmar Technology Gateway,Yangon,Negotiable,,,07 Apr 2025,https://www.jobnet.com.mm/job/full-stack-developer-myanmar-technology-gateway/113039,MM,jobnetmm
"Manager/Sr. Manager, Network Quality & Performance",ATOM,Yangon,Negotiable,,,07 Apr 2025,https://www.jobnet.com.mm/job/manager-sr-manager-network-quality-and-performance-atom/113028,MM,jobnetmm
"Asst Manager/Manager, Billing & Charging (B2C)",ATOM,Yangon,Negotiable,,,07 Apr 2025,https://www.jobnet.com.mm/job/asst-manager-manager-billing-and-charging-b2c-atom/113025,MM,jobnetmm
