title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
"Senior Developer (Full-Stack, Front-end, Back-end)",Software/Web Development,Private Advertiser,"Pathum Wan, Bangkok",TH,80000,100000,90000,THB,Full time,On-site,Senior,2025-05-26,https://th.jobsdb.com/job/84478643,jobsdbth
Automation Engineer,Quality Assurance & Testing,Mitsubishi Electric,Chon Buri,TH,,,,,Full time,On-site,,2025-05-12,https://th.jobsdb.com/job/84161751,jobsdbth
ผู้ช่วยผู้จัดการทั่วไป - สำนักตรวจสอบภายใน,Other,Home Product Center,Nonthaburi,TH,30000,45000,37500,THB,Full time,On-site,,2025-05-27,https://th.jobsdb.com/job/84503913,jobsdbth
"Software Engineer, ePresentment & Payment",Software/Web Development,Private Advertiser,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-27,https://th.jobsdb.com/job/84514014,jobsdbth
IT Service Help Desk (Contract),Other,Nextech Asia,"Pak Kret, Nonthaburi",TH,18000,23000,20500,THB,Contract/Temp,On-site,,2025-05-27,https://th.jobsdb.com/job/84513697,jobsdbth
Business Owner - SCB Easy Channel,Other,Siam Commercial Bank,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-22,https://th.jobsdb.com/job/84064398,jobsdbth
Internship Program (Minimum 3 months),Other,Reckitt,"Khlong Toei, Bangkok",TH,,,,,Contract/Temp,Hybrid,Intern,2025-05-21,https://th.jobsdb.com/job/84368227,jobsdbth
IT Support,Infra & System,Samsung E&A,"Sathon, Bangkok",TH,,,,,Full time,On-site,,2025-04-30,https://th.jobsdb.com/job/83885167,jobsdbth
Full Stack Developer,Software/Web Development,,"Mueang Nonthaburi, Nonthaburi",TH,35000,45000,40000,THB,Full time,On-site,,2025-05-08,https://th.jobsdb.com/job/84091368,jobsdbth
IT Support Specialist,Infra & System,True Corporation,Bangkok,TH,,,,,Full time,Hybrid,,2025-04-28,https://th.jobsdb.com/job/83850644,jobsdbth
Infrastructure & Security Manager,Cybersecurity,The Erawan Group,Bangkok,TH,,,,,Full time,On-site,Manager,2025-05-09,https://th.jobsdb.com/job/84126447,jobsdbth
Project Management Internship (12-month Contract),Project & Product Management,BMW,Bangkok,TH,,,,,Contract/Temp,On-site,Intern,2025-05-02,https://th.jobsdb.com/job/83954624,jobsdbth
Data Analyst,Data & Analytics,Krungthai Bank,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-22,https://th.jobsdb.com/job/84403988,jobsdbth
Head of IT Service and Support,Other,FWD Life Indonesia,Bangkok,TH,,,,,Full time,Hybrid,Manager,2025-05-13,https://th.jobsdb.com/job/84183585,jobsdbth
Desktop support engineer,Infra & System,"Brocent Cloud Service Co., Limited",Bangkok,TH,38000,45000,41500,THB,Full time,On-site,,2025-05-15,https://th.jobsdb.com/job/84248737,jobsdbth
IT System Application Operations Specialist,Infra & System,Changan Automobile,Rayong,TH,,,,,Full time,On-site,,2025-05-26,https://th.jobsdb.com/job/84472786,jobsdbth
